D010146,C36511
C5460480,D012008
C9824461,D011183
C31186,D004195
C5997029,D011183
C6439577,D012008
C76965186,D004195
C15104874,D004195
C7927,D004195
C23986,D011183
C11318905,D011183
C174065,D004195
C6906,D011183
C66166,D004195
C183009,D012008
C5282150,D004195
E8510,D011183
C73640,D004195
C24853505,D004195
E25886,D004195
E25886,D011183
C131673831,D011248
C6695,D013577
E84259,D004195
C11446863,D011183
C71248,D004195
C9270,C36523
C23375907,D001943
C20544,D004195
C6438682,D004195
C86289556,D013577
C95956,D004195
C452545,D012008
E23440,D002908
C28360774,D002418
C76956130,D004195
C107903,D018450
C45071972,D011183
C11979415,D018450
C5359367,D004938
C12604,D011183
C44144406,D004195
C10197984,D011183
C6097028,D011248
C2303,D011183
C69952,D012008
C6918412,D004195
C122051,D020022
C1714884,D004195
C74765081,D006333
C2471,D013577
C393111,D004195
C6323195,D011183
C5485205,D004195
C66005,D009369
C6918736,D004195
E57101,D004195
C5879,D020022
C155765,D011183
C235905,D009369
C107903,D009364
C9270,C6279
C64939,D004195
C14930269,D002908
C92376,D004195
C151244,D004195
E51320,D011183
C16197730,D008175
C128803,D004195
C5593,D012008
C5284616,D002872
C56840845,D002908
C156411,D011183
C47759,D011183
C2763150,D004195
C9911482,D011183
C151176,D011183
C44576241,D004195
C101673418,D020022
C105003,D011183
C119221,D012008
E23648,D011183
C107903,D004195
C16066663,D012008
C637760,D018450
C91994225,D004195
C9399,D013577
C10608,D020022
C2569,D011183
C169867,D012008
E26115,D011183
C451889,D011183
C129635,D011183
C9578160,D002908
C91865678,D012008
C62388,D020022
C41448,D004195
C163797,D004195
C11460221,D004195
E10634,D011183
C151176,D018450
E91851,D004195
C122156,D002908
C9887077,D011183
C60955,D018450
C9907284,D004195
C9964,D002908
C13641,D004195
C3081019,D004195
C6830,D006331
C19799163,D004195
C67184,D004195
C131700477,D004195
E83444,D004195
C15345727,D004195
C22424,D011183
C4521392,D011183
C2336,D004283
C76966485,D011183
E6569,D011183
C3081085,D002908
C6097028,C222786
C44247677,D011183
C159444,D012008
C68908,D011183
C641765,D012008
C25246008,D004195
C3246323,D020022
C121494088,D001327
C10220503,D004195
E1318,D018450
C9874560,D004195
C24847804,D002908
C195709,D011183
E23176,D011183
E56160,D004195
C4780,D011183
C23725083,C18283
C11152667,D004195
C44263344,D000208
C129651902,D012008
C5282229,D011183
C62731,D018450
C24855,D012008
C44263344,D004195
C19999,D004195
C56842881,D004195
C4437430,D012008
C7085,D018450
C31239,D012008
C6009,D003967
C16132366,D011183
C24892797,D004195
C131063,D004195
C102031,D011183
C15184,D004195
C5475238,D004195
C6804,D020022
C86767262,D020022
C70683032,D004195
C44563336,D011183
C148879,D004195
C216232,D004195
C90479224,D011183
C4604,D005402
C14930269,D009369
C34474,D004195
C86289556,D007744
C129579,D011183
C107903,D011183
C25240035,D011183
C9882519,D004195
C73417174,D009765
C4583,D002371
C6301,D004195
C15284,D009369
C24778014,D004195
C16218345,D004195
C5821911,D011183
C67128867,D004195
C101569142,D004195
C76966759,D004195
C293603,D004195
C21593928,D004195
C5894,D004195
C31247,D004195
C115110,D011183
C10093628,D011183
C5359268,D006331
C1174,D030361
C6917964,C24414
C37927,D004195
C11317439,D004195
C9578160,D012008
E89765,D004195
C45073445,D004195
E55157,D012008
C13859138,D004195
C54577153,D011183
C8027,D011183
C125244,D004195
C108114,D004195
C11525753,D007249
C9801640,D011183
C9832804,D006973
C91864535,D004195
C163065,D011183
C5246,D007565
C3503,D007249
E79923,D011183
C2478,C9892583
C102135100,D004195
C134655,D012008
C67480965,D004195
C3080836,D004195
C57346670,D012008
C44428111,D004195
C121494088,D020022
C9823927,D004195
C74629,D011183
C71306818,C36314
C174697,D011602
C55297134,D004195
C11289,D004195
C44152261,D004195
C16132684,D004195
E9076,D011183
C76961209,D018450
C6713178,D002371
C159468,D011183
C656832,D001943
C46938678,D011183
C2645,D011183
C132900,D004195
C76972610,D012008
C76966544,D004195
C6059,D013577
C160504,D004195
C9839429,D012008
C10987,D009369
C11591505,D011183
E27229,D004195
C472169,D011183
E10957,D011183
C76964713,D004195
C21593928,D020022
C71316600,D012008
C23695850,D009181
C171754,D004195
C1608347,D004195
C9853654,D018450
C9853654,D007249
C16007367,D002908
C5311054,D014376
C105003,D012008
E84897,D004195
C128467,D018450
C129668401,D004195
C5487148,D004195
C11545,D001284
C15558277,D005315
C159396,D004195
D004204,C56842206
C6918532,D011183
C108114,D018450
C6009,D010190
C124220628,D004195
C23672771,D004195
C189562,D012008
C9838389,D011183
C5280443,D020022
C9917968,D011183
C62369,D011183
C53474706,D004195
E283489,D004195
C5742673,D009175
E5567,D011183
E84259,D012008
C54685147,D002908
C122647,D004195
C448545,D011183
E10426,D004195
C11954337,D015658
C6438909,D012008
C5342077,D011183
C65490,D004195
E81850,D004195
C3038669,D012008
C119,D001720
E378708,D002908
C6438512,D011183
C6365145,D004195
C129317889,D018450
C5281847,D020022
C6453968,D004195
C38503,D012008
C3080753,D004195
C25223366,D004195
C12039,D004195
C2533,D013577
D009381,C6328144
C125105,D002908
C12133414,D018450
C244898,D012008
C21896651,D004198
C49784851,D004195
C131888681,D009369
C10328936,D004195
C163331,D004195
C9883512,D004195
C60748,D002908
C3501942,D004195
C11469158,D004195
C100153,D011183
C6455,D004195
C5280343,D009784
C108114,D011183
C439986,D004195
C3730,D020022
C169232,D004195
C2723735,D004195
C24529,D011183
C5942341,D011183
C13653617,D004195
C56965909,D004195
C121864,D002908
C235905,D012008
C16133648,D020022
C103555,D002908
C163143,D004195
C453626,D012507
C31239,D018450
C43814,D011183
E9019,D011183
C13514,D004195
C159929,D011183
C102582026,D011183
C5282229,D018450
C9880,D009369
C3074611,D004195
C22465216,D011183
C5843397,D004195
C60748,D004195
C71749131,D012008
C49800003,D000038
C6438345,D004195
C5178589,D011183
C162008,D004195
C114819,D004195
E6575,D011183
C16131048,D011183
C4604,D007412
C119021,D011183
C14702042,D002908
C40120,D004195
C133058,D004195
D020022,C145858
C65950,D004195
C68261,D011183
C11397521,D000208
C103555,D012008
C44135418,D009369
C23633604,D004195
C9925886,D018450
C115110,D018450
C151422,D004195
C36735,D012008
C3035233,D012008
C44263344,D012008
E2671,D011183
C294491,D011183
C72720442,D011183
C16132366,D002908
C16363,D007431
C50312,D012008
C643462,D004195
C52942439,D011183
E80152,D011183
C129959,D018450
C25108829,D011183
C6474554,D011183
C124834,D004195
C108114,D000208
C114725,D012008
C5909,D001932
C54693026,D004195
C11353099,D004195
C129010915,D020022
C53325874,D018450
C60859,D011183
C8583,D004195
C189688,D004195
C68146615,D009303
C16363,C43032
C5282139,D000208
C5875,D011183
C6172,C4943
C3371,D004194
C5351166,D002288
C107791,D018450
E55515,D011183
C3034747,D020022
C168114,D011183
C128823,D004195
C5282229,D008175
E8712,D004195
C3045253,D011183
C6337393,D018450
C46938678,D012008
C71306744,D011183
E5529,D011183
C154048,D011183
C10077147,D011183
C119238,D011183
C11988049,D004195
C51051622,D020022
C169867,D004195
C216453,D012008
C169595,D011183
C1051,D009784
C147252,D004195
C62995,D004195
C6019,D007037
C2898799,D011183
C91990364,D011183
C5283547,D004195
C23641071,D004195
C443363,D020022
C9870067,D004195
C443366,D009369
E27077,D004195
C11655119,D002908
C750,C10220511
E10957,D004195
C3038484,D018450
C11446863,D004195
E11137,D004195
C5585,D020022
C13871033,D011183
C13738,D004195
E5567,D012008
C6037480,D004195
C16083083,D004195
C56841595,D004195
C5460480,D018450
C676352,D011183
C475514,D011183
E55153,D011183
C447715,D011183
C2466,D002908
C127382,D004195
C129763,D004195
C131675055,D002544
C61486,D011183
C464036,D004195
C71543332,D004195
C62929,C6231
E201254,D004195
C71749131,D018450
C675434,D011183
C101063449,D011183
C82291,D004195
C484112,D012008
C6883,D006331
C11560787,D011183
C5564,D009784
C9833525,D009369
C131750196,D012008
C55432,D004195
C9870904,D011183
C56840912,D011183
C3748,D013577
C9824461,D012008
C443944,C23982
C129182,D004195
C464036,D011183
C60937,D011183
C10523409,D001342
C3763,C6172
C5392,D002908
C10345214,D011183
C9897697,D004195
C11256560,D011183
C120656,D004195
C90488820,D006086
C547,D011183
C11546234,D002908
C44397500,D004195
C68890,D011183
C44263344,D007249
C23981,D011183
C3035953,D004195
E25914,D004195
C15284370,D011183
C108184,D004195
C23990,D004283
C102196860,D003680
C71738,D002908
C29112,D002908
E23440,D018450
C47320,D012878
E57705,D004195
C6280,D013577
C38503,D002908
E378708,D004195
E6150,D011183
C16117309,D004195
C16714211,D011183
C2569,C637
C131888681,D020022
C5284380,D009361
C9935639,D002908
C15960835,D011183
C91711144,D012008
C13653617,D012008
E10667,D004195
C10365526,D004195
C71494926,D004195
C65768,D004195
C9574768,D002908
C73640,D011183
C126968545,D002908
C171133,D011183
C5311493,D018450
C9934347,D011183
C126455875,D004195
C71316600,D002908
E121642,D004195
C6337393,D002908
C9870520,D011183
C5983,D000015
E9425,D004195
C7085,D012008
C5473050,D004195
C132420,D011183
C9816296,D004195
C3036089,D011183
C5282381,D009364
C6421522,D011183
C72184,D011183
